DBA,ZIPCODE
Starbucks,10028
Chicken Feastin,11221
Dunkin Donuts,11414
Kennedy Fried Chicken,10472
Dunkin' / 'Baskin Robbins,10014
Popeyes,11413
Starbucks,10036
Nelly's Chicken & Pizza,10032
Popeyes,11433
Shake Shack,10019
Dunkin,11205
Dunkin,11235
Burger King,10451
New Mama's Fried Chicken,10455
Subway,10038
Dunkin',11378
Wendy's,11101
Delicias Pizza And Chicken,11355
Papa John's,11368
Dunkin Donuts,11369
Subway,10003
Starbucks,10027
Starbucks Coffee #48170,11215
375 Chicken N Fries,10036
Texas Chicken & Burgers,10454
Papa John's Pizza,11385
Popeyes,10302
Kfc,11377
Papa John's,11413
Dunkin,11374
The Chick Inn Harlem,10031
Kentucky Fried Chicken,10029
Starbucks,10022
Domino's,11103
Subway,11421
Taco Bell,10022
Starbucks,11201
Five Guys,11360
Dunkin',11226
Kfc,10027
Papa John's,11366
Zalim Hot Chicken & Burgers,11209
"Dunkin',' Baskin Robbins",10458
Dunkin,10021
Wendy Teriyaki,11385
Chipotle Mexican Grill,10010
Kennedy Chicken,10457
Dunkin',11432
Dunkin',10461
Chick Rocks,11354
Dunkin/Jimmy Johns,11361
Kennedy Fried Chicken,11420
Chipotle Mexican Grill #3056,11213
Subway,10029
Starbucks,10027
Kennedy Fried Chicken,11210
Kentucky Fried Chicken,10029
Dunkin,10027
Texas Chicken & Burgers,10454
Kfc,11237
Shah's Halal Express & Castle Chicken And Burgers,10471
Dunkin',11209
"Dunkin', Baskin Robbins",11423
Chick-Fil-A,10314
Domino's,10027
Domino's,10470
Chicken Feastin,11221
"Dunkin', 'Baskin Robbins",10455
Nycs Fried Chicken,11208
"Taco Bell, Kfc",10031
Domino's,10002
Crown Fried Chicken,10462
Popeyes,11217
Chicken Shack,10465
Starbucks Coffee #65494,10022
Chipotle Mexican Grill,10465
Starbucks,10039
Dunkin,11417
Starbucks,10001
Taco Bell,10036
Dunkin,11355
Starbucks Coffee #49450,10475
Starbucks,11234
Five Guys Famous Burgers And Fries,10036
Kennedy Fried Chicken,11420
Subway,10029
Subway,10023
Subway,11220
Starbucks,10451
Dunkin,10461
Starbucks,10019
H Chicken,11234
Chipotle Mexican Grill,10013
Kennedy's Fried Chicken & Biscuits,10458
