"County","License Number","Operation Type","Establishment Type","Entity Name","DBA Name","Street Number","Street Name","Address Line 2","Address Line 3","City","State","Zip Code","Square Footage","Georeference"
"MONROE","739155","Store","AC","FASTRAC EG LLC","FASTRAC EG 291 - MAIN & UNION","672","E MAIN ST",,,"ROCHESTER","NY","14605",,"POINT (-77.59456 43.16008)"
"WESTCHESTER","739154","Store","AC","BROTHERS GROCERY & DELI CORP","BROTHERS GROCERY & DELI","147-149","MCLEAN AVE",,,"YONKERS","NY","10705","25,000","POINT (-73.89054 40.91605)"
"ERIE","739151","Store","AC","FASTRAC EG LLC","FASTRAC EG 290 - BAILEY AVE","2751","BAILEY AVE",,,"BUFFALO","NY","14215","3,000","POINT (-78.81343 42.92948)"
"BRONX","739150","Store","AC","LOS MORONTAS SUPERMARKET CORP","LOS MORONTAS SUPERMARKET","475","CASTLE HILL AVENUE",,,"BRONX","NY","10473","1,000","POINT (-73.8475 40.81673)"
"NEW YORK","739149","Store","AC","EAST 11TH STREET DELI CORP","EAST 11TH STREET DELI","528","E 11TH STREET",,,"NEW YORK","NY","10009","1,000","POINT (-73.9804 40.72786)"
"STEUBEN","739146","Store","AC","FASTRAC EG LLC","FASTRAC EG 289 - RIVERSIDE","361","W PULTENEY",,,"CORNING","NY","14830",,"POINT (-77.07752 42.15355)"
"MONROE","739145","Store","AC","FASTRAC EG LLC","FASTRAC EG 288 - HENRIETTA","4200","W HENRIETTA RD",,,"ROCHESTER","NY","14623",,"POINT (-77.64613 43.06847)"
"ONONDAGA","739143","Store","AC","FASTRAC EG LLC","FASTRAC EG 287 - CAMILLUS","507","HINSDALE RD",,,"CAMILLUS","NY","13031","2,500","POINT (-76.26595 43.05324)"
"ONONDAGA","739142","Store","AC","FASTRAC EG LLC","FASTRAC EG 286 - LIVERPOOL","7189","OSWEGO RD",,,"LIVERPOOL","NY","13090","3,600","POINT (-76.21533 43.11886)"
"SENECA","739137","Store","AC","FASTRAC EG LLC","FASTRAC EG 285 - OVID","2200-2210","RT 96",,,"OVID","NY","14521",,"POINT (-76.81973 42.68078)"
"MONROE","739133","Store","AC","FASTRAC EG LLC","FASTRAC EG 284 - PENFIELD","2500","BROWNCROFT BLVD",,,"ROCHESTER","NY","14625",,"POINT (-77.5052 43.15399)"
"ONONDAGA","739132","Store","AC","FASTRAC EG LLC","FASTRAC EG 283 - CLAY","8467","OSWEGO RD",,,"BALDWINSVILLE","NY","13027","3,600","POINT (-76.26234 43.18034)"
"BROOME","739131","Store","AC","FASTRAC EG LLC","FASTRAC EG 280 - PORT CRANE","17","CANAL ST",,,"PORT CRANE","NY","13833",,"POINT (-75.83452 42.16508)"
"ONEIDA","739126","Store","AC","FASTRAC EG LLC","FASTRAC EG 276 - BLK RIVER BLVD (ROME)","1614","BLACK RIVER BLVD",,,"ROME","NY","13440",,"POINT (-75.43954 43.22929)"
"HERKIMER","739124","Store","AC","FASTRAC EG LLC","FASTRAC EG 275 - HERKIMER","201","W STATE ST",,,"HERKIMER","NY","13350",,"POINT (-74.98703 43.02477)"
"LEWIS","739123","Store","AC","FASTRAC EG LLC","FASTRAC EG 274 - LOWVILLE","5610","SHADY AVE",,,"LOWVILLE","NY","13367","3,600","POINT (-75.48109 43.7882)"
"MONTGOMERY","739122","Store","AC","FASTRAC EG LLC","FASTRAC EG 272 - AMSTERDAM","138","MARKET ST",,,"AMSTERDAM","NY","12010","2,000","POINT (-74.18761 42.94339)"
"MADISON","739121","Store","AC","FASTRAC EG LLC","FASTRAC EG 270 - CANASTOTA","3388","SENECA TPKE ###",,,"CANASTOTA","NY","13032",,"POINT (-75.75258 43.06967)"
"ONEIDA","739116","Store","AC","FASTRAC EG LLC","FASTRAC EG 268 - ERIE BLVD (ROME)","600","W ERIE BLVD",,,"ROME","NY","13440",,"POINT (-75.47092 43.21499)"
"ONONDAGA","739115","Store","AC","FASTRAC EG LLC","FASTRAC EG 267 - ELBRIDGE","100-112","W MAIN ST ###",,,"ELBRIDGE","NY","13060","4,400","POINT (-76.44852 43.03477)"
"WARREN","739106","Store","AC","FASTRAC EG LLC","FASTRAC EG 266 - QUEENSBURY","208","CORINTH RD",,,"QUEENSBURY","NY","12804",,"POINT (-73.68221 43.29757)"
"MONTGOMERY","739103","Store","AC","FASTRAC EG LLC","FASTRAC EG 264 - VAILS MILLS","3707","RT 30",,,"AMSTERDAM","NY","12010","2,500","POINT (-74.21589 43.04714)"
